id;nombre_cientifico;categoria;grupo;clasificacion_FAO;cultivo;origen_et;origen;vulnerabilidad_et;vulnerabilidad;imp_economica_org;seg_alimentaria_org;incertidumbre;incertidumbre_et;imp_economica;pool_imp_economica;seg_alimentaria;pool_imp_sa;int_banco;int_banco_et
1;Coffea arabica;EVA's (MADR) List;Otros permanentes;Beverage and spice crops;NA;Distant;20;Threatened;75;78.25;56.79;30;Baja;78.25;No;56.79;No;100;Alto
2;Dovyalis hebecarpa;BGV List;Frutales;Fruits and nuts;Frutales menores;Distant;20;NotEvaluated;0;8;8;90;Alta;8;No;8;No;15;Bajo
4;Mauritia flexuosa;ICBF;Frutales;Fruits and nuts;NA;Local;70;MinorConcern;35;30;30;90;Alta;30;No;30;No;15;Bajo
5;Allium cepa;BGV List;Hortalizas;Vegetables and melons;Cebolla;Distant;20;MinorConcern;35;55.27;57.5;30;Baja;55.27;No;57.5;No;29.12;Bajo
6;Cabralea canjerana;ICBF;Otros permanentes;Other crops;NA;Local;70;MinorConcern;35;8;8;90;Alta;8;No;8;No;15;Bajo
7;Lactuca sativa;EVA's (MADR) List;Hortalizas;Vegetables and melons;NA;Distant;20;NotEvaluated;0;75.24;57.5;10;No;75.24;No;57.5;No;29.12;Bajo
8;Allium fistulosum;BGV List;Hortalizas;Vegetables and melons;Cebolla larga;Distant;20;NotEvaluated;0;70;37.5;30;Baja;70;No;37.5;No;29.12;Bajo
9;Stenocereus griseus;ICBF;Otros permanentes;Other crops;NA;Local;70;MinorConcern;35;8;8;90;Alta;8;No;8;No;15;Bajo
10;Allium sativum;BGV List;Hortalizas;Vegetables and melons;Ajo;Distant;20;NotEvaluated;0;50;57.5;60;Media;50;No;57.5;No;29.12;Bajo
11;Fragaria vesca;EVA's (MADR) List;Frutales;Fruits and nuts;NA;Distant;20;MinorConcern;35;70;57.5;10;No;70;No;57.5;No;29.12;Bajo
12;Prunus avium;ICBF;Frutales;Fruits and nuts;NA;Distant;20;MinorConcern;35;8;8;90;Alta;8;No;8;No;15;Bajo
14;Vitis vinifera;EVA's (MADR) List;Frutales;Fruits and nuts;NA;Distant;20;MinorConcern;35;36.55;37.5;60;Media;36.55;No;37.5;No;29.12;Bajo
15;Anacardium occidentale;BGV List;Frutales;Fruits and nuts;Marañon;Local;70;NotEvaluated;0;30;30;90;Alta;30;No;30;No;55;Medio
