"id","nombre_cientifico","categoria","grupo","clasificacion_FAO","cultivo","origen_et","origen","vulnerabilidad_et","vulnerabilidad","imp_economica_org","seg_alimentaria_org","incertidumbre","incertidumbre_et","imp_economica","pool_imp_economica","seg_alimentaria","pool_imp_sa"
1,"Coffea arabica","EVA's (MADR) List","Otros permanentes","Beverage and spice crops",NA,"Distant",20,"Threatened",75,"78.25","50",90,"Alta","78.25","No","50","No"
2,"Dovyalis hebecarpa","BGV List","Frutales","Fruits and nuts","Frutales menores","Distant",20,"NotEvaluated",0,"8","37.5",30,"Baja","8","No","37.5","No"
4,"Mauritia flexuosa","ICBF","Frutales","Fruits and nuts",NA,"Local",70,"MinorConcern",35,"30","30",90,"Alta","30","No","30","No"
5,"Allium cepa","BGV List","Hortalizas","Vegetables and melons","Cebolla","Distant",20,"MinorConcern",35,"55.27","57.5",90,"Alta","55.27","No","57.5","No"
6,"Cabralea canjerana","ICBF","Otros permanentes","Other crops",NA,"Local",70,"MinorConcern",35,"8","57.5",30,"Baja","8","No","57.5","No"
7,"Lactuca sativa","EVA's (MADR) List","Hortalizas","Vegetables and melons",NA,"Distant",20,"NotEvaluated",0,"75.24","57.5",90,"Alta","75.24","No","57.5","No"
8,"Allium fistulosum","BGV List","Hortalizas","Vegetables and melons","Cebolla larga","Distant",20,"NotEvaluated",0,"70","57.5",10,"No","70","No","57.5","No"
9,"Stenocereus griseus","ICBF","Otros permanentes","Other crops",NA,"Local",70,"MinorConcern",35,"8","57.5",30,"Baja","8","No","57.5","No"
10,"Allium sativum","BGV List","Hortalizas","Vegetables and melons","Ajo","Distant",20,"NotEvaluated",0,"50","57.5",90,"Alta","50","No","57.5","No"
11,"Fragaria vesca","EVA's (MADR) List","Frutales","Fruits and nuts",NA,"Distant",20,"MinorConcern",35,"70","57.5",60,"Media","70","No","57.5","No"
12,"Prunus avium","ICBF","Frutales","Fruits and nuts",NA,"Distant",20,"MinorConcern",35,"8","57.5",10,"No","8","No","57.5","No"
14,"Vitis vinifera","EVA's (MADR) List","Frutales","Fruits and nuts",NA,"Distant",20,"MinorConcern",35,"36.55","37.5",90,"Alta","36.55","No","37.5","No"
15,"Anacardium occidentale","BGV List","Frutales","Fruits and nuts","Marañon","Local",70,"NotEvaluated",0,"30","34.65",60,"Media","30","No","34.65","No"
16,"Attalea maripa","ICBF","Oleaginosas","Oilseed crops",NA,"Local",70,"MinorConcern",35,"8","37.5",60,"Media","8","No","37.5","No"
17,"Prunus persica","EVA's (MADR) List","Frutales","Fruits and nuts",NA,"Distant",20,"MinorConcern",35,"57.21","57.5",90,"Alta","57.21","No","57.5","No"
18,"Ananas comosus","BGV List","Frutales","Fruits and nuts","Piña","Local",70,"MinorConcern",35,"75.8","55.51",60,"Media","75.8","No","55.51","No"
19,"Bromelia pinguin","ICBF","Plantas aromaticas condimentarias y medicinales","Other crops",NA,"Close",45,"MinorConcern",35,"8","57.5",10,"No","8","No","57.5","No"
20,"Cucumis sativus","EVA's (MADR) List","Hortalizas","Vegetables and melons",NA,"Distant",20,"NotEvaluated",0,"50.53","8",90,"Alta","50.53","No","8","No"
21,"Annona cherimola","BGV List","Frutales","Fruits and nuts","Anonas","Local",70,"MinorConcern",35,"30.8","37.5",60,"Media","30.8","No","37.5","No"
22,"Coriandrum sativum","EVA's (MADR) List","Hortalizas","Vegetables and melons",NA,"Distant",20,"MinorConcern",35,"50","37.5",90,"Alta","50","No","37.5","No"
23,"Maranta arundinacea","ICBF","Tuberculos","Root/tuber crops with high starch or inulin conten",NA,"Local",70,"MinorConcern",35,"8","57.5",60,"Media","8","No","57.5","No"
24,"Annona glabra","BGV List","Frutales","Fruits and nuts","Anonas","Distant",20,"MinorConcern",35,"8","8",90,"Alta","50","GP","57.5","GP"
25,"Hevea brasiliensis","EVA's (MADR) List","Otros permanentes","Other crops",NA,"Local",70,"MinorConcern",35,"30","8",90,"Alta","30","No","8","No"
26,"Xanthosoma sagittifolium","EVA's (MADR) List","Tuberculos","Root/tuber crops with high starch or inulin conten",NA,"Local",70,"NotEvaluated",0,"33.28","8",90,"Alta","33.28","No","8","No"
28,"Colocasia esculenta","ICBF","Tuberculos","Root/tuber crops with high starch or inulin conten",NA,"Distant",20,"MinorConcern",35,"34.33","30",90,"Alta","34.33","No","30","No"
29,"Pyrus communis","EVA's (MADR) List","Frutales","Fruits and nuts",NA,"Distant",20,"MinorConcern",35,"32.58","50",60,"Media","32.58","No","50","No"
30,"Annona muricata","BGV List","Frutales","Fruits and nuts","Anonas","Local",70,"MinorConcern",35,"50","57.5",10,"No","50","No","57.5","No"
31,"Manihot esculenta","ICBF","Tuberculos","Root/tuber crops with high starch or inulin conten",NA,"Local",70,"NotEvaluated",0,"70","54.73",10,"No","70","No","54.73","No"
32,"Prunus domestica","EVA's (MADR) List","Frutales","Fruits and nuts",NA,"Distant",20,"NotEvaluated",0,"55.07","57",10,"No","55.07","No","57","No"
33,"Annona purpurea","BGV List","Frutales","Fruits and nuts","Anonas","Close",45,"MinorConcern",35,"8","57.5",60,"Media","50","GP","57.5","No"
34,"Brassica oleracea","EVA's (MADR) List","Hortalizas","Vegetables and melons",NA,"Distant",20,"NotEvaluated",0,"70","8",90,"Alta","70","No","8","No"
35,"Mespilus germanica","ICBF","Frutales","Fruits and nuts",NA,"Distant",20,"MinorConcern",35,"8","8",90,"Alta","8","No","8","No"
37,"Beta vulgaris","EVA's (MADR) List","Hortalizas","Vegetables and melons",NA,"Distant",20,"MinorConcern",35,"73.64","57.5",90,"Alta","73.64","No","57.5","No"
38,"Urtica dioica","ICBF","Plantas aromaticas condimentarias y medicinales","Beverage and spice crops",NA,"Local",70,"MinorConcern",35,"8","57.5",10,"No","8","No","57.5","No"
39,"Annona squamosa","BGV List","Frutales","Fruits and nuts","Anonas","Local",70,"NotEvaluated",0,"30","37.5",90,"Alta","30","No","37.5","No"
40,"Oenocarpus bataua","ICBF","Oleaginosas","Oilseed crops",NA,"Local",70,"MinorConcern",35,"8","57.5",60,"Media","8","No","57.5","No"
41,"Hylocereus undatus","EVA's (MADR) List","Frutales","Fruits and nuts",NA,"Close",45,"NotEvaluated",0,"30.8","8",90,"Alta","30.8","No","8","No"
42,"Opuntia ficus-indica","ICBF","Frutales","Fruits and nuts",NA,"Close",45,"NotEvaluated",0,"73.54","57.5",90,"Alta","73.54","No","57.5","No"
43,"Aloe vera","EVA's (MADR) List","Plantas aromaticas condimentarias y medicinales","Beverage and spice crops",NA,"Distant",20,"MinorConcern",35,"50","57.5",60,"Media","50","No","57.5","No"
44,"Arachis hypogaea","BGV List","Leguminosas","Leguminous crops","Maní","Local",70,"NotEvaluated",0,"33.74","8",90,"Alta","33.74","No","8","No"
45,"Prunus dulcis","ICBF","Oleaginosas","Oilseed crops",NA,"Distant",20,"Threatened ",75,"8","37.5",60,"Media","8","No","37.5","No"
46,"Apium graveolens","EVA's (MADR) List","Hortalizas","Vegetables and melons",NA,"Distant",20,"MinorConcern",35,"50","8",90,"Alta","50","No","8","No"
